"id"	"name"	"type"	"subtype"	"family"	"scientific_name"	"length"	"length_uom"	"wingspan"	"weight"	"weight_uom"	"conservation_status"	"description"	"stock_image"
2	"Common Loon"	"Bird"	"Waterfowl"	"Loons"	"Gavia immer"	"66-91"	"cm"	"127-147"	"8-12"	"lbs"	"Least Concern"	"The common loon has a black bill and a red eye. In summer it is a spotty black and white with a black/iridescent green head. In fall a winter coat that's gray above and white below replaces its summer plumage. Larger than a mallard but smaller than a goose, this water bird has a thick neck and a long, black bill. Its legs are set far back on its body, so it has an awkward gait on land."	"images/birds/commonloon.png"
3	"Wood Duck"	"Bird"	"Waterfowl"	"Ducks"	"Aix sponsa"	"47-54"	"cm"	"66-73"	"1.5"	"lbs"	"Least Concern"	"The male (drake) has a blue-green crested head with white stripes, a reddish brown breast, buff colored sides and red eyes. Females (hens) are brown with a white speckled breast, crested head, and distinctive white eye ring."	"images/birds/woodduck.png"
4	"Mallard"	"Bird"	"Waterfowl"	"Ducks"	"Anas platyrhynchos"	"50-65"	"cm"	"81-98"	"2.5-3"	"lbs"	"Least Concern"	"Male mallards (drakes) have a glossy green head and white neck collar. Females (hens) are mostly brown. Males and young birds look like females in the summer. Both sexes have a blue patch on the wing."	"images/birds/mallard.png"
5	"Ring-necked Duck"	"Bird"	"Waterfowl"	"Ducks"	"Aythya collaris"	"39-46"	"cm"	"62-63"	"1-2"	"lbs"	"Least Concern"	"Bright yellow eyes and dark body and wings. Both drake and hen have a white ring on the front of their bill. Males are mostly black; hens are dark brown. "	"images/birds/ringneckedduck.png"
6	"Canvasback"	"Bird"	"Waterfowl"	"Ducks"	"Aythya valisineria"	"48-56"	"cm"	"79-89"	"2-3.5"	"lbs"	"Least Concern"	"Drake (male) canvasbacks have red eyes, cinnamon-colored heads and brilliant white backs. Females have tan heads, dark brown breasts and cream sides and bellies."	"images/birds/canvasback.png"
7	"Blue-winged Teal"	"Bird"	"Waterfowl"	"Ducks"	"Anas discors"	"40"	"cm"	"58"	"1"	"lb"	"Least Concern"	"A very small duck. The male has a white facial crescent, chestnut spots on the breast and pale blue wing patches. The female is uniformly gray-brown with pale blue wing patches. Both sexes have small black bills. "	"images/birds/bluewingedteal.png"
8	"Black Bear"	"Mammal"	"Predator"	"Bear"	"Ursus americanus"	"5-6"	"ft"		"150-500"	"lbs"	"Least Concern"	" A large black (or sometimes brown) mammal with a large head, small eyes, erect ears, stout legs, and a very short tail.  Bears have reasonable eyesight and hearing, and an exceptionally keen sense of smell (better than a dog)."	"images/mammals/blackbear.png"
9	"Gray Wolf"	"Mammal"	"Predator"	"Canine"	"Canis lupus"	"41-63"	"in"		"60-145"	"lbs"	"Endangered"	"Gray wolves, or timber wolves, are canines with long bushy tails that are often black-tipped. Their coat color is typically a mix of gray and brown with buffy facial markings and undersides, but the color can vary from solid white to brown or black. Gray wolves look somewhat like a large German shepherd. "	"images/mammals/graywolf.png"
10	"Coyote"	"Mammal"	"Predator"	"Canine"	"Canis latrans"	"39-53"	"in"		"25-30"	"lbs"	"Least Concern"	"Coyotes resemble a small, lean German shepherd with a bottle-shaped tail. Its fur is long, coarse, and heavy. Coyotes also have large, bushy tails, and long, erect ears."	"images/mammals/coyote.png"
11	"Bobcat"	"Mammal"	"Predator"	"Feline"	"Lynx rufus"	"26-36"	"in"		"20-30"	"lbs"	"Least Concern"	"Medium-sized with a very short ""bob"" tail, light brown or gray fur on the top and white fur, often spotted, on the belly. The bobcat appears smaller and more slender than the lynx. It has shorter ear tufts, smaller less furry feet, and the tip of its tail is black only on the top. Brown or gray on top, white on the belly often with black spots."	"images/mammals/bobcat.png"
12	"Canada Lynx"	"Mammal"	"Predator"	"Feline"	"Lynx canadensis"	"39-46"	"ft"		"20-44"	"lbs"	"Least Concern"	" About the same size as a bobcat, but with brown fur with white undersides, long ear tufts, and a pronounced goatee under the chin. The hind legs appear longer than the front legs. Adult lynx are brown to gray on top, with a gray to white belly. Some lynx have dark spots."	"images/mammals/canadalynx.png"
13	"American Marten"	"Mammal"	"Predator"	"Weasel"	"Martes americana"	"24-30"	"in"		"2"	"lbs"	"Least Concern"	"A small predator with golden brown fur and a yellow chest. Its long body and small rounded ears make the marten one of the ""cutest"" predators in Minnesota. Brown, tinted with gold or yellow."	"images/mammals/marten.png"
